Component,Qty,Notes
Arduino UNO Q (ABX00087),1,Main board (MCU + Linux MPU)
U8G2-Compatible SSD1306 OLED display 0.96 inch (I2C GND-VCC-SCL-SDA),1,AI status readout
PS2 Analog joystick module (Bare),1,Movement / menu nav
MPU6050 accelerometer/gyroscope module,1,I2C addr 0x68
12x12 mm Tactile switches,3,Action buttons
6x6 mm Tactile switches,4,Layer-select / sleep-wake buttons
KFC-A06W1-7.3F Tact Switch with Bracket 2-Pin (6x6x7.3),1,
1K Resistor,3,
NPN BJT,2,Vibration motor driver transistors
Diode,2,Flyback protection for vibration motors
Custom PCB (2-layer designed in EasyEDA Pro),1,Gerbers + source in /hardware
Photoresistor,1,Fatigue/difficulty-ease sensor (A2)
Wires,7,
MAX9814 (3-pin),1,Mic envelope output (A3)
Small coin vibration motor,2,Haptic feedback (D6/D7)
5V 3A Power supply,1,
USB-C extender,1,
Brass insert for 3mm screws (optional),4,Enclosure assembly
3D printer filament (optional),1 kg spool,Enclosure
